"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2024","14.38","14.00","14.64","13.75","5.08M","2.06%"
"05/22/2024","14.09","14.50","14.82","14.00","12.73M","2.18%"
"05/21/2024","13.79","12.90","13.79","12.51","5.85M","7.90%"
"05/20/2024","12.78","13.10","13.33","12.70","1.79M","-2.44%"
"05/17/2024","13.10","13.43","13.56","13.00","2.94M","-1.13%"
"05/16/2024","13.25","13.48","13.60","12.85","15.63M","0.84%"
"05/15/2024","13.14","13.10","13.69","12.99","18.44M","3.55%"
"05/14/2024","12.69","11.50","12.69","11.50","7.82M","8.93%"
"05/13/2024","11.65","11.40","11.99","11.39","3.82M","-0.34%"
"05/10/2024","11.69","11.02","11.69","11.02","3.68M","6.76%"
"05/09/2024","10.95","10.90","11.00","10.85","835.00K","0.92%"
"05/08/2024","10.85","11.00","11.15","10.76","515.50K","-0.55%"
"05/07/2024","10.91","10.81","11.15","10.75","1.39M","-0.37%"
"05/06/2024","10.95","10.49","11.06","10.40","4.31M","5.80%"
"05/03/2024","10.35","10.35","10.55","10.20","640.50K","1.97%"
"05/02/2024","10.15","10.30","10.30","10.00","476.50K","-0.98%"
"04/30/2024","10.25","10.08","10.80","10.08","1.10M","0.99%"
"04/29/2024","10.15","10.51","10.51","10.06","628.00K","-2.87%"
"04/26/2024","10.45","10.30","10.50","10.15","736.00K","1.46%"
"04/25/2024","10.30","10.53","10.94","10.00","1.67M","-2.92%"
"04/24/2024","10.61","10.49","10.80","10.30","917.00K","2.51%"
"04/23/2024","10.35","11.19","11.19","10.35","1.65M","-6.92%"
"04/22/2024","11.12","10.50","11.40","10.35","3.83M","5.30%"
"04/19/2024","10.56","9.61","10.67","9.60","3.30M","7.65%"
"04/18/2024","9.81","9.56","9.91","9.41","1.56M","-0.30%"
"04/17/2024","9.84","9.70","10.09","9.61","1.76M","2.39%"
"04/16/2024","9.61","9.20","9.95","9.20","4.97M","4.00%"
"04/15/2024","9.24","9.10","9.25","8.99","945.50K","2.10%"
"04/09/2024","9.05","9.12","9.26","8.85","4.01M","0.56%"
"04/08/2024","9.00","8.95","9.05","8.83","420.00K","0.56%"
"04/04/2024","8.95","9.00","9.28","8.81","605.00K","1.02%"
"04/03/2024","8.86","8.89","8.98","8.75","313.00K","0.80%"
"04/02/2024","8.79","8.74","8.94","8.71","125.00K","-1.12%"
"04/01/2024","8.89","9.13","9.13","8.77","591.50K","0.45%"
"03/29/2024","8.85","8.83","8.99","8.78","179.00K","-1.45%"
"03/28/2024","8.98","9.10","9.10","8.80","589.50K","1.70%"
"03/27/2024","8.83","9.00","9.00","8.75","505.00K","-1.89%"
"03/26/2024","9.00","8.90","9.00","8.80","230.00K","1.12%"
"03/25/2024","8.90","9.05","9.12","8.75","193.00K","1.02%"
"03/22/2024","8.81","9.25","9.28","8.81","238.50K","-2.44%"
"03/21/2024","9.03","9.00","9.15","8.83","564.00K","1.01%"
"03/20/2024","8.94","9.18","9.25","8.85","654.00K","1.02%"
"03/19/2024","8.85","9.27","9.34","8.85","901.50K","-3.07%"
"03/18/2024","9.13","9.35","9.35","9.12","111.50K","-0.22%"
"03/15/2024","9.15","9.40","9.40","9.01","401.00K","-2.14%"
"03/14/2024","9.35","9.14","9.40","9.00","526.00K","5.06%"
